Enter value for shuffling:Iterator=1, queue=1, depth=0
Iterator=644, queue=505, depth=630
Iterator=645, queue=505, depth=631
Iterator=646, queue=506, depth=632
Iterator=647, queue=506, depth=633
Iterator=648, queue=507, depth=634
Iterator=649, queue=509, depth=635
Iterator=650, queue=510, depth=636
Iterator=651, queue=510, depth=637
Iterator=652, queue=511, depth=638
Iterator=653, queue=511, depth=639
Iterator=654, queue=512, depth=640
Iterator=655, queue=514, depth=641
Iterator=656, queue=515, depth=642
Iterator=657, queue=515, depth=643
Iterator=658, queue=515, depth=644
Iterator=659, queue=517, depth=645
Iterator=660, queue=518, depth=646
Iterator=661, queue=518, depth=647
Iterator=662, queue=519, depth=648
Iterator=663, queue=519, depth=649
Iterator=664, queue=520, depth=650
Iterator=665, queue=522, depth=651
Iterator=666, queue=523, depth=652
Iterator=667, queue=523, depth=653
Iterator=668, queue=524, depth=654
Iterator=669, queue=524, depth=655
Iterator=670, queue=525, depth=656
Iterator=671, queue=527, depth=657
Iterator=672, queue=528, depth=658
Iterator=673, queue=527, depth=658
Iterator=674, queue=527, depth=659
Iterator=675, queue=527, depth=660
Iterator=676, queue=529, depth=661
Iterator=677, queue=530, depth=662
Iterator=678, queue=530, depth=663
Iterator=679, queue=531, depth=664
Iterator=680, queue=531, depth=665
Iterator=681, queue=532, depth=666
Iterator=682, queue=534, depth=667
Iterator=683, queue=535, depth=668
Iterator=684, queue=535, depth=669
Iterator=685, queue=536, depth=670
Iterator=686, queue=536, depth=671
Iterator=687, queue=537, depth=672
Iterator=688, queue=539, depth=673
Iterator=689, queue=540, depth=674
Iterator=690, queue=540, depth=675
Iterator=691, queue=541, depth=676
Iterator=692, queue=541, depth=677
Iterator=693, queue=542, depth=678
Iterator=694, queue=544, depth=679
Iterator=695, queue=545, depth=680
Iterator=696, queue=545, depth=681
Iterator=697, queue=546, depth=682
Iterator=698, queue=546, depth=683
Iterator=699, queue=547, depth=684
Iterator=700, queue=549, depth=685
Iterator=701, queue=550, depth=686
Iterator=702, queue=550, depth=687
Iterator=703, queue=551, depth=688
Iterator=704, queue=550, depth=688
Iterator=705, queue=552, depth=689
Iterator=706, queue=553, depth=690
Iterator=707, queue=553, depth=691
Iterator=708, queue=554, depth=692
Iterator=709, queue=554, depth=693
Iterator=710, queue=555, depth=694
Iterator=711, queue=557, depth=695
Iterator=712, queue=558, depth=696
Iterator=713, queue=558, depth=697
Iterator=714, queue=559, depth=698
Iterator=715, queue=559, depth=699
Iterator=716, queue=560, depth=700
Iterator=717, queue=562, depth=701
Iterator=718, queue=563, depth=702
Iterator=719, queue=562, depth=702
Iterator=720, queue=562, depth=703
Iterator=721, queue=563, depth=704
Iterator=722, queue=563, depth=705
Iterator=723, queue=564, depth=706
Iterator=724, queue=566, depth=707
Iterator=725, queue=567, depth=708
Iterator=726, queue=567, depth=709
Iterator=727, queue=568, depth=710
Iterator=728, queue=568, depth=711
Iterator=729, queue=569, depth=712
Iterator=730, queue=571, depth=713
Iterator=731, queue=572, depth=714
Iterator=732, queue=572, depth=715
Iterator=733, queue=573, depth=716
Iterator=734, queue=573, depth=717
Iterator=735, queue=574, depth=718
Iterator=736, queue=576, depth=719
Iterator=737, queue=577, depth=720
Iterator=738, queue=577, depth=721
Iterator=739, queue=578, depth=722
Iterator=740, queue=578, depth=723
Iterator=741, queue=579, depth=724
Iterator=742, queue=581, depth=725
Iterator=743, queue=582, depth=726
Iterator=744, queue=582, depth=727
Iterator=745, queue=583, depth=728
Iterator=746, queue=583, depth=729
Iterator=747, queue=584, depth=730
Iterator=748, queue=586, depth=731
Iterator=749, queue=587, depth=732
Iterator=750, queue=587, depth=733
Iterator=751, queue=587, depth=734
Iterator=752, queue=589, depth=735
Iterator=753, queue=590, depth=736
Iterator=754, queue=590, depth=737
Iterator=755, queue=591, depth=738
Iterator=756, queue=591, depth=739
Iterator=757, queue=592, depth=740
Iterator=758, queue=594, depth=741
Iterator=759, queue=595, depth=742
Iterator=760, queue=595, depth=743
Iterator=761, queue=596, depth=744
Iterator=762, queue=596, depth=745
Iterator=763, queue=597, depth=746
Iterator=764, queue=599, depth=747
Iterator=765, queue=600, depth=748
Iterator=766, queue=599, depth=748
Iterator=767, queue=598, depth=747
Iterator=768, queue=599, depth=748
Iterator=769, queue=599, depth=749
Iterator=770, queue=599, depth=750
Iterator=771, queue=599, depth=751
Iterator=772, queue=600, depth=752
Iterator=773, queue=600, depth=753
Iterator=774, queue=601, depth=754
Iterator=775, queue=603, depth=755
Iterator=776, queue=604, depth=756
Iterator=777, queue=604, depth=757
Iterator=778, queue=605, depth=758
Iterator=779, queue=605, depth=759
Iterator=780, queue=606, depth=760
Iterator=781, queue=608, depth=761
Iterator=782, queue=609, depth=762
Iterator=783, queue=609, depth=763
Iterator=784, queue=610, depth=764
Iterator=785, queue=610, depth=765
Iterator=786, queue=611, depth=766
Iterator=787, queue=613, depth=767
Iterator=788, queue=614, depth=768
Iterator=789, queue=614, depth=769
Iterator=790, queue=615, depth=770
Iterator=791, queue=615, depth=771
Iterator=792, queue=616, depth=772
Iterator=793, queue=618, depth=773
Iterator=794, queue=619, depth=774
Iterator=795, queue=619, depth=775
Iterator=796, queue=620, depth=776
Iterator=797, queue=620, depth=777
Iterator=798, queue=621, depth=778
Iterator=799, queue=623, depth=779
Iterator=800, queue=624, depth=780
Iterator=801, queue=624, depth=781
Iterator=802, queue=624, depth=782
Iterator=803, queue=626, depth=783
Iterator=804, queue=627, depth=784
Iterator=805, queue=627, depth=785
Iterator=806, queue=628, depth=786
Iterator=807, queue=628, depth=787
Iterator=808, queue=629, depth=788
Iterator=809, queue=631, depth=789
Iterator=810, queue=632, depth=790
Iterator=811, queue=632, depth=791
Iterator=812, queue=633, depth=792
Iterator=813, queue=633, depth=793
Iterator=814, queue=634, depth=794
Iterator=815, queue=636, depth=795
Iterator=816, queue=637, depth=796
Iterator=817, queue=636, depth=796
Iterator=818, queue=636, depth=797
Iterator=819, queue=637, depth=798
