Iterator=330, queue=596, depth=2
Iterator=331, queue=599, depth=2
Iterator=332, queue=600, depth=0
Iterator=333, queue=601, depth=2
Iterator=334, queue=604, depth=6
Iterator=335, queue=605, depth=4
Iterator=336, queue=606, depth=6
Iterator=337, queue=609, depth=2
Iterator=338, queue=612, depth=4
Iterator=339, queue=613, depth=4
Iterator=340, queue=614, depth=6
Iterator=341, queue=615, depth=4
Iterator=342, queue=616, depth=6
Iterator=343, queue=619, depth=2
Iterator=344, queue=622, depth=4
Iterator=345, queue=623, depth=4
Iterator=346, queue=624, depth=4
Iterator=347, queue=625, depth=4
Iterator=348, queue=626, depth=2
Iterator=349, queue=629, depth=6
Iterator=350, queue=632, depth=4
Iterator=351, queue=633, depth=6
Iterator=352, queue=634, depth=4
Iterator=353, queue=635, depth=4
Iterator=354, queue=636, depth=2
Iterator=355, queue=639, depth=6
Iterator=356, queue=642, depth=4
Iterator=357, queue=643, depth=6
Iterator=358, queue=644, depth=2
Iterator=359, queue=647, depth=4
Iterator=360, queue=648, depth=4
Iterator=361, queue=649, depth=2
Iterator=362, queue=652, depth=4
Iterator=363, queue=653, depth=4
Iterator=364, queue=654, depth=4
Iterator=365, queue=655, depth=4
Iterator=366, queue=656, depth=2
Iterator=367, queue=659, depth=2
Iterator=368, queue=660, depth=0
Iterator=369, queue=661, depth=2
Iterator=370, queue=664, depth=2
Iterator=371, queue=665, depth=0
Iterator=372, queue=666, depth=2
Iterator=373, queue=669, depth=4
Iterator=374, queue=672, depth=4
Iterator=375, queue=673, depth=2
Iterator=376, queue=674, depth=2
Iterator=377, queue=675, depth=0
Iterator=378, queue=676, depth=2
Iterator=379, queue=679, depth=2
Iterator=380, queue=682, depth=2
Iterator=381, queue=683, depth=0
Iterator=382, queue=684, depth=2
Iterator=383, queue=687, depth=4
Iterator=384, queue=688, depth=4
Iterator=385, queue=689, depth=2
Iterator=386, queue=692, depth=4
Iterator=387, queue=693, depth=4
Iterator=388, queue=694, depth=4
Iterator=389, queue=695, depth=4
Iterator=390, queue=696, depth=2
Iterator=391, queue=699, depth=2
Iterator=392, queue=700, depth=0
Iterator=393, queue=701, depth=2
Iterator=394, queue=704, depth=2
Iterator=395, queue=707, depth=4
Iterator=396, queue=708, depth=4
Iterator=397, queue=709, depth=2
Iterator=398, queue=712, depth=2
Iterator=399, queue=713, depth=0
Iterator=400, queue=714, depth=4
Iterator=401, queue=715, depth=4
Iterator=402, queue=716, depth=2
Iterator=403, queue=719, depth=4
Iterator=404, queue=720, depth=4
Iterator=405, queue=721, depth=2
Iterator=406, queue=724, depth=4
Iterator=407, queue=725, depth=6
Iterator=408, queue=726, depth=6
Iterator=409, queue=729, depth=2
Iterator=410, queue=732, depth=4
Iterator=411, queue=733, depth=4
Iterator=412, queue=734, depth=4
Iterator=413, queue=735, depth=6
Iterator=414, queue=736, depth=6
Iterator=415, queue=739, depth=2
Iterator=416, queue=742, depth=4
Iterator=417, queue=743, depth=4
Iterator=418, queue=744, depth=2
Iterator=419, queue=747, depth=4
Iterator=420, queue=748, depth=4
Iterator=421, queue=749, depth=2
Iterator=422, queue=752, depth=2
Iterator=423, queue=753, depth=0
Iterator=424, queue=754, depth=4
Iterator=425, queue=755, depth=4
Iterator=426, queue=756, depth=2
Iterator=427, queue=759, depth=4
Iterator=428, queue=760, depth=4
Iterator=429, queue=761, depth=2
Iterator=430, queue=764, depth=4
Iterator=431, queue=765, depth=2
Iterator=432, queue=766, depth=4
Iterator=433, queue=769, depth=2
Iterator=434, queue=772, depth=2
Iterator=435, queue=773, depth=0
Iterator=436, queue=774, depth=2
Iterator=437, queue=775, depth=0
Iterator=438, queue=776, depth=2
Iterator=439, queue=779, depth=2
Iterator=440, queue=782, depth=2
Iterator=441, queue=783, depth=0
Iterator=442, queue=784, depth=4
Iterator=443, queue=785, depth=4
Iterator=444, queue=786, depth=2
Iterator=445, queue=789, depth=6
Iterator=446, queue=792, depth=4
Iterator=447, queue=793, depth=6
Iterator=448, queue=794, depth=4
Iterator=449, queue=795, depth=4
Iterator=450, queue=796, depth=2
Iterator=451, queue=799, depth=6
Iterator=452, queue=802, depth=4
Iterator=453, queue=803, depth=6
Iterator=454, queue=804, depth=2
Iterator=455, queue=807, depth=4
Iterator=456, queue=808, depth=4
Iterator=457, queue=809, depth=2
Iterator=458, queue=812, depth=2
Iterator=459, queue=813, depth=0
Iterator=460, queue=814, depth=4
Iterator=461, queue=815, depth=4
Iterator=462, queue=816, depth=2
Iterator=463, queue=819, depth=4
Iterator=464, queue=820, depth=4
Iterator=465, queue=821, depth=2
Iterator=466, queue=824, depth=4
Iterator=467, queue=825, depth=4
Iterator=468, queue=826, depth=2
Iterator=469, queue=829, depth=6
Iterator=470, queue=832, depth=6
Iterator=471, queue=833, depth=4
Iterator=472, queue=834, depth=4
Iterator=473, queue=835, depth=4
Iterator=474, queue=836, depth=2
Iterator=475, queue=839, depth=6
Iterator=476, queue=842, depth=6
Iterator=477, queue=843, depth=4
Iterator=478, queue=844, depth=2
Iterator=479, queue=847, depth=4
Iterator=480, queue=848, depth=4
Iterator=481, queue=849, depth=2
Iterator=482, queue=852, depth=2
Iterator=483, queue=853, depth=0
Iterator=484, queue=854, depth=4
Iterator=485, queue=855, depth=4
Iterator=486, queue=856, depth=2
Iterator=487, queue=859, depth=4
Iterator=488, queue=860, depth=4
Iterator=489, queue=861, depth=2
Iterator=490, queue=864, depth=4
Iterator=491, queue=865, depth=2
Iterator=492, queue=866, depth=4
Iterator=493, queue=869, depth=6
Iterator=494, queue=872, depth=4
Iterator=495, queue=873, depth=6
Iterator=496, queue=874, depth=4
Iterator=497, queue=875, depth=2
Iterator=498, queue=876, depth=4
Iterator=499, queue=879, depth=2
Iterator=500, queue=882, depth=2
Iterator=501, queue=883, depth=0
Iterator=502, queue=884, depth=4
Iterator=503, queue=887, depth=6
Iterator=504, queue=888, depth=6
Iterator=505, queue=889, depth=4
Iterator=506, queue=892, depth=6
Iterator=507, queue=893, depth=6
Iterator=508, queue=894, depth=4
Iterator=509, queue=895, depth=2
Iterator=510, queue=896, depth=4
Iterator=511, queue=899, depth=6
Iterator=512, queue=900, depth=6
Iterator=513, queue=901, depth=4
Iterator=514, queue=904, depth=2
Iterator=515, queue=907, depth=4
Iterator=516, queue=908, depth=4
Iterator=517, queue=909, depth=2
Iterator=518, queue=912, depth=2
Iterator=519, queue=913, depth=0
Iterator=520, queue=914, depth=4
Iterator=521, queue=915, depth=4
Iterator=522, queue=916, depth=2
Iterator=523, queue=919, depth=4
Iterator=524, queue=920, depth=4
Iterator=525, queue=921, depth=2
Iterator=526, queue=924, depth=4
Iterator=527, queue=925, depth=2
Iterator=528, queue=926, depth=4
Iterator=529, queue=929, depth=2
Iterator=530, queue=932, depth=2
Iterator=531, queue=933, depth=0
Iterator=532, queue=934, depth=2
Iterator=533, queue=935, depth=0
Iterator=534, queue=936, depth=2
Iterator=535, queue=939, depth=2
Iterator=536, queue=942, depth=2
Iterator=537, queue=943, depth=0
Iterator=538, queue=944, depth=2
Iterator=539, queue=945, depth=0
Iterator=540, queue=946, depth=2
Iterator=541, queue=949, depth=4
Iterator=542, queue=952, depth=4
Iterator=543, queue=953, depth=2
Iterator=544, queue=954, depth=2
Iterator=545, queue=955, depth=0
Iterator=546, queue=956, depth=2
Iterator=547, queue=959, depth=2
Iterator=548, queue=962, depth=2
Iterator=549, queue=963, depth=0
Iterator=550, queue=964, depth=2
Iterator=551, queue=967, depth=4
Iterator=552, queue=968, depth=4
Iterator=553, queue=969, depth=2
Iterator=554, queue=972, depth=4
Iterator=555, queue=973, depth=4
Iterator=556, queue=974, depth=4
Iterator=557, queue=975, depth=4
Iterator=558, queue=976, depth=2
Iterator=559, queue=979, depth=2
Iterator=560, queue=980, depth=0
Iterator=561, queue=981, depth=2
Iterator=562, queue=984, depth=2
Iterator=563, queue=987, depth=4
Iterator=564, queue=988, depth=4
Iterator=565, queue=989, depth=2
Iterator=566, queue=992, depth=2
Iterator=567, queue=993, depth=0
Iterator=568, queue=994, depth=4
Iterator=569, queue=995, depth=4
Iterator=570, queue=996, depth=2
Iterator=571, queue=999, depth=4
Iterator=572, queue=1000, depth=4
Iterator=573, queue=1001, depth=2
Iterator=574, queue=1004, depth=4
Iterator=575, queue=1005, depth=2
Iterator=576, queue=1006, depth=4
Iterator=577, queue=1009, depth=2
Iterator=578, queue=1012, depth=2
Iterator=579, queue=1013, depth=0
Iterator=580, queue=1014, depth=2
Iterator=581, queue=1015, depth=0
Iterator=582, queue=1016, depth=2
Iterator=583, queue=1019, depth=2
Iterator=584, queue=1022, depth=2
Iterator=585, queue=1023, depth=0
Iterator=586, queue=1024, depth=1
Iterator=587, queue=1026, depth=3
Iterator=588, queue=1028, depth=1
Iterator=589, queue=1030, depth=1
Iterator=590, queue=1032, depth=3
Iterator=591, queue=1034, depth=3
Iterator=592, queue=1036, depth=3
Iterator=593, queue=1038, depth=1
Iterator=594, queue=1040, depth=3
Iterator=595, queue=1042, depth=5
Iterator=596, queue=1044, depth=5
Iterator=597, queue=1046, depth=5
Iterator=598, queue=1048, depth=5
Iterator=599, queue=1050, depth=3
Iterator=600, queue=1052, depth=1
Iterator=601, queue=1054, depth=3
Iterator=602, queue=1056, depth=1
Iterator=603, queue=1058, depth=3
Iterator=604, queue=1060, depth=1
Iterator=605, queue=1062, depth=1
Iterator=606, queue=1064, depth=3
Iterator=607, queue=1066, depth=3
Iterator=608, queue=1068, depth=3
Iterator=609, queue=1070, depth=1
Iterator=610, queue=1072, depth=3
Iterator=611, queue=1074, depth=1
Iterator=612, queue=1076, depth=3
Iterator=613, queue=1078, depth=3
Iterator=614, queue=1080, depth=3
Iterator=615, queue=1082, depth=1
Iterator=616, queue=1084, depth=1
Iterator=617, queue=1086, depth=1
Iterator=618, queue=1088, depth=3
Iterator=619, queue=1090, depth=3
Iterator=620, queue=1092, depth=3
Iterator=621, queue=1094, depth=1
Iterator=622, queue=1096, depth=5
Iterator=623, queue=1098, depth=3
Iterator=624, queue=1100, depth=5
Iterator=625, queue=1102, depth=3
Iterator=626, queue=1104, depth=3
Iterator=627, queue=1106, depth=3
Iterator=628, queue=1108, depth=3
Iterator=629, queue=1110, depth=1
Iterator=630, queue=1112, depth=5
Iterator=631, queue=1114, depth=3
Iterator=632, queue=1116, depth=5
Iterator=633, queue=1118, depth=3
Iterator=634, queue=1120, depth=3
Iterator=635, queue=1122, depth=5
Iterator=636, queue=1124, depth=3
Iterator=637, queue=1126, depth=5
Iterator=638, queue=1128, depth=3
Iterator=639, queue=1130, depth=3
Iterator=640, queue=1132, depth=3
Iterator=641, queue=1134, depth=1
Iterator=642, queue=1136, depth=1
Iterator=643, queue=1138, depth=3
Iterator=644, queue=1140, depth=1
Iterator=645, queue=1142, depth=1
Iterator=646, queue=1144, depth=3
Iterator=647, queue=1146, depth=3
Iterator=648, queue=1148, depth=3
Iterator=649, queue=1150, depth=1
Iterator=650, queue=1152, depth=3
Iterator=651, queue=1154, depth=5
Iterator=652, queue=1156, depth=5
Iterator=653, queue=1158, depth=5
Iterator=654, queue=1160, depth=5
Iterator=655, queue=1162, depth=3
Iterator=656, queue=1164, depth=1
Iterator=657, queue=1166, depth=3
Iterator=658, queue=1168, depth=3
Iterator=659, queue=1170, depth=5
Iterator=660, queue=1172, depth=5
Iterator=661, queue=1174, depth=5
Iterator=662, queue=1176, depth=7
Iterator=663, queue=1178, depth=5
Iterator=664, queue=1180, depth=7
Iterator=665, queue=1182, depth=5
Iterator=666, queue=1184, depth=5
Iterator=667, queue=1186, depth=7
Iterator=668, queue=1188, depth=5
Iterator=669, queue=1190, depth=7
Iterator=670, queue=1192, depth=3
Iterator=671, queue=1194, depth=5
Iterator=672, queue=1196, depth=5
Iterator=673, queue=1198, depth=5
Iterator=674, queue=1200, depth=5
Iterator=675, queue=1202, depth=7
Iterator=676, queue=1204, depth=5
Iterator=677, queue=1206, depth=7
Iterator=678, queue=1208, depth=3
Iterator=679, queue=1210, depth=5
Iterator=680, queue=1212, depth=5
Iterator=681, queue=1214, depth=5
Iterator=682, queue=1216, depth=5
Iterator=683, queue=1218, depth=3
Iterator=684, queue=1220, depth=5
Iterator=685, queue=1222, depth=7
Iterator=686, queue=1224, depth=7
Iterator=687, queue=1226, depth=7
Iterator=688, queue=1228, depth=5
Iterator=689, queue=1230, depth=7
Iterator=690, queue=1232, depth=3
Iterator=691, queue=1234, depth=5
