Enter value for shuffling:you string is123875460Iterator=1, queue=1, depth=0
Iterator=245, queue=14, depth=9
Iterator=246, queue=11, depth=9
Iterator=247, queue=11, depth=9
Iterator=248, queue=10, depth=8
Iterator=249, queue=12, depth=8
Iterator=250, queue=13, depth=9
Iterator=251, queue=13, depth=9
Iterator=252, queue=12, depth=9
Iterator=253, queue=12, depth=9
Iterator=254, queue=11, depth=9
Iterator=255, queue=12, depth=9
Iterator=256, queue=10, depth=9
Iterator=257, queue=11, depth=9
Iterator=258, queue=9, depth=6
Iterator=259, queue=11, depth=6
Iterator=260, queue=12, depth=7
Iterator=261, queue=11, depth=7
Iterator=262, queue=11, depth=7
Iterator=263, queue=12, depth=8
Iterator=264, queue=12, depth=8
Iterator=265, queue=13, depth=9
Iterator=266, queue=15, depth=9
Iterator=267, queue=12, depth=9
Iterator=268, queue=12, depth=9
Iterator=269, queue=11, depth=8
Iterator=270, queue=13, depth=8
Iterator=271, queue=14, depth=9
Iterator=272, queue=14, depth=9
Iterator=273, queue=13, depth=9
Iterator=274, queue=13, depth=9
Iterator=275, queue=12, depth=9
Iterator=276, queue=13, depth=9
Iterator=277, queue=11, depth=9
Iterator=278, queue=12, depth=9
Iterator=279, queue=10, depth=7
Iterator=280, queue=11, depth=7
Iterator=281, queue=11, depth=8
Iterator=282, queue=11, depth=8
Iterator=283, queue=11, depth=9
Iterator=284, queue=12, depth=9
Iterator=285, queue=10, depth=8
Iterator=286, queue=10, depth=8
Iterator=287, queue=11, depth=9
Iterator=288, queue=11, depth=9
Iterator=289, queue=10, depth=9
Iterator=290, queue=12, depth=9
Iterator=291, queue=9, depth=7
Iterator=292, queue=10, depth=7
Iterator=293, queue=10, depth=8
Iterator=294, queue=10, depth=8
Iterator=295, queue=10, depth=9
Iterator=296, queue=11, depth=9
Iterator=297, queue=9, depth=8
Iterator=298, queue=9, depth=8
Iterator=299, queue=10, depth=9
Iterator=300, queue=12, depth=9
Iterator=301, queue=9, depth=9
Iterator=302, queue=9, depth=9
Iterator=303, queue=8, depth=5
Iterator=304, queue=8, depth=5
Iterator=305, queue=8, depth=6
Iterator=306, queue=8, depth=6
Iterator=307, queue=9, depth=7
Iterator=308, queue=11, depth=7
Iterator=309, queue=12, depth=8
Iterator=310, queue=12, depth=8
Iterator=311, queue=13, depth=9
Iterator=312, queue=13, depth=9
Iterator=313, queue=12, depth=9
Iterator=314, queue=14, depth=9
Iterator=315, queue=11, depth=8
Iterator=316, queue=11, depth=8
Iterator=317, queue=12, depth=9
Iterator=318, queue=12, depth=9
Iterator=319, queue=11, depth=9
Iterator=320, queue=13, depth=9
Iterator=321, queue=10, depth=8
Iterator=322, queue=11, depth=8
Iterator=323, queue=11, depth=9
Iterator=324, queue=12, depth=9
Iterator=325, queue=10, depth=9
Iterator=326, queue=10, depth=9
Iterator=327, queue=9, depth=8
Iterator=328, queue=10, depth=8
Iterator=329, queue=10, depth=9
Iterator=330, queue=11, depth=9
Iterator=331, queue=9, depth=9
Iterator=332, queue=9, depth=9
Iterator=333, queue=8, depth=7
Iterator=334, queue=8, depth=7
Iterator=335, queue=9, depth=8
Iterator=336, queue=9, depth=8
Iterator=337, queue=10, depth=9
Iterator=338, queue=12, depth=9
Iterator=339, queue=9, depth=9
Iterator=340, queue=9, depth=9
Iterator=341, queue=8, depth=8
Iterator=342, queue=10, depth=8
Iterator=343, queue=11, depth=9
Iterator=344, queue=11, depth=9
Iterator=345, queue=10, depth=9
Iterator=346, queue=10, depth=9
Iterator=347, queue=9, depth=9
Iterator=348, queue=10, depth=9
Iterator=349, queue=8, depth=9
Iterator=350, queue=9, depth=9
Iterator=351, queue=7, depth=5
Iterator=352, queue=8, depth=5
Iterator=353, queue=8, depth=6
Iterator=354, queue=9, depth=6
Iterator=355, queue=11, depth=7
Iterator=356, queue=12, depth=7
Iterator=357, queue=11, depth=8
Iterator=358, queue=11, depth=8
Iterator=359, queue=12, depth=9
Iterator=360, queue=12, depth=9
Iterator=361, queue=11, depth=9
Iterator=362, queue=13, depth=9
Iterator=363, queue=10, depth=7
Iterator=364, queue=11, depth=7
Iterator=365, queue=11, depth=8
Iterator=366, queue=12, depth=8
Iterator=367, queue=14, depth=9
Iterator=368, queue=15, depth=9
Iterator=369, queue=13, depth=9
Iterator=370, queue=14, depth=9
Iterator=371, queue=12, depth=9
Iterator=372, queue=13, depth=9
Iterator=373, queue=11, depth=9
Iterator=374, queue=11, depth=9
Iterator=375, queue=10, depth=8
Iterator=376, queue=9, depth=8
Iterator=377, queue=10, depth=7
Iterator=378, queue=10, depth=9
Iterator=379, queue=10, depth=8
Iterator=380, queue=9, depth=9
Iterator=381, queue=9, depth=9
Iterator=382, queue=8, depth=7
Iterator=383, queue=8, depth=7
Iterator=384, queue=9, depth=8
Iterator=385, queue=9, depth=8
Iterator=386, queue=10, depth=9
Iterator=387, queue=12, depth=9
Iterator=388, queue=9, depth=9
Iterator=389, queue=9, depth=9
Iterator=390, queue=8, depth=8
Iterator=391, queue=9, depth=8
Iterator=392, queue=10, depth=9
Iterator=393, queue=10, depth=9
Iterator=394, queue=9, depth=9
Iterator=395, queue=9, depth=9
Iterator=396, queue=8, depth=9
Iterator=397, queue=9, depth=9
Iterator=398, queue=7, depth=6
Iterator=399, queue=7, depth=6
Iterator=400, queue=8, depth=7
Iterator=401, queue=10, depth=7
Iterator=402, queue=11, depth=8
Iterator=403, queue=10, depth=8
Iterator=404, queue=10, depth=8
Iterator=405, queue=11, depth=9
Iterator=406, queue=11, depth=9
Iterator=407, queue=10, depth=9
Iterator=408, queue=12, depth=9
Iterator=409, queue=9, depth=8
Iterator=410, queue=10, depth=8
Iterator=411, queue=10, depth=9
Iterator=412, queue=11, depth=9
Iterator=413, queue=9, depth=9
Iterator=414, queue=9, depth=9
Iterator=415, queue=8, depth=8
Iterator=416, queue=9, depth=8
Iterator=417, queue=9, depth=9
Iterator=418, queue=10, depth=9
Iterator=419, queue=8, depth=9
Iterator=420, queue=8, depth=9
Iterator=421, queue=7, depth=7
Iterator=422, queue=7, depth=7
Iterator=423, queue=8, depth=8
Iterator=424, queue=8, depth=8
Iterator=425, queue=9, depth=9
Iterator=426, queue=11, depth=9
Iterator=427, queue=8, depth=9
Iterator=428, queue=8, depth=9
Iterator=429, queue=7, depth=8
Iterator=430, queue=9, depth=8
Iterator=431, queue=10, depth=9
Iterator=432, queue=10, depth=9
Iterator=433, queue=9, depth=9
Iterator=434, queue=9, depth=9
Iterator=435, queue=8, depth=9
Iterator=436, queue=9, depth=9
Iterator=437, queue=7, depth=9
Iterator=438, queue=8, depth=9
Iterator=439, queue=6, depth=3
Iterator=440, queue=6, depth=3
Iterator=441, queue=7, depth=4
Iterator=442, queue=7, depth=4
Iterator=443, queue=8, depth=5
Iterator=444, queue=10, depth=5
Iterator=445, queue=11, depth=6
Iterator=446, queue=11, depth=6
Iterator=447, queue=12, depth=7
Iterator=448, queue=12, depth=7
Iterator=449, queue=13, depth=8
Iterator=450, queue=15, depth=8
Iterator=451, queue=16, depth=9
Iterator=452, queue=16, depth=9
Iterator=453, queue=15, depth=9
Iterator=454, queue=15, depth=9
Iterator=455, queue=14, depth=9
Iterator=456, queue=15, depth=9
Iterator=457, queue=13, depth=9
Iterator=458, queue=14, depth=9
Iterator=459, queue=12, depth=8
Iterator=460, queue=12, depth=8
Iterator=461, queue=13, depth=9
Iterator=462, queue=13, depth=9
Iterator=463, queue=12, depth=9
Iterator=464, queue=14, depth=9
Iterator=465, queue=11, depth=7
Iterator=466, queue=13, depth=7
Iterator=467, queue=14, depth=8
Iterator=468, queue=14, depth=8
Iterator=469, queue=15, depth=9
Iterator=470, queue=15, depth=9
Iterator=471, queue=14, depth=9
Iterator=472, queue=16, depth=9
Iterator=473, queue=13, depth=8
Iterator=474, queue=13, depth=8
Iterator=475, queue=14, depth=9
Iterator=476, queue=14, depth=9
Iterator=477, queue=13, depth=9
Iterator=478, queue=15, depth=9
Iterator=479, queue=12, depth=8
Iterator=480, queue=13, depth=8
Iterator=481, queue=13, depth=9
Iterator=482, queue=14, depth=9
Iterator=483, queue=12, depth=9
Iterator=484, queue=12, depth=9
Iterator=485, queue=11, depth=8
Iterator=486, queue=12, depth=8
Iterator=487, queue=12, depth=9
Iterator=488, queue=13, depth=9
Iterator=489, queue=11, depth=9
Iterator=490, queue=11, depth=9
Iterator=491, queue=10, depth=6
Iterator=492, queue=10, depth=6
Iterator=493, queue=11, depth=7
Iterator=494, queue=11, depth=7
Iterator=495, queue=12, depth=8
Iterator=496, queue=14, depth=8
Iterator=497, queue=15, depth=9
Iterator=498, queue=15, depth=9
Iterator=499, queue=14, depth=9
Iterator=500, queue=14, depth=9
Iterator=501, queue=13, depth=9
Iterator=502, queue=14, depth=9
Iterator=503, queue=12, depth=9
Iterator=504, queue=13, depth=9
Iterator=505, queue=11, depth=8
Iterator=506, queue=11, depth=8
Iterator=507, queue=12, depth=9
Iterator=508, queue=12, depth=9
Iterator=509, queue=11, depth=9
Iterator=510, queue=13, depth=9
Iterator=511, queue=10, depth=7
Iterator=512, queue=12, depth=7
Iterator=513, queue=13, depth=8
Iterator=514, queue=13, depth=8
Iterator=515, queue=14, depth=9
Iterator=516, queue=14, depth=9
Iterator=517, queue=13, depth=9
Iterator=518, queue=15, depth=9
Iterator=519, queue=12, depth=8
Iterator=520, queue=12, depth=8
Iterator=521, queue=13, depth=9
Iterator=522, queue=13, depth=9
Iterator=523, queue=12, depth=9
Iterator=524, queue=14, depth=9
Iterator=525, queue=11, depth=8
Iterator=526, queue=12, depth=8
Iterator=527, queue=12, depth=9
Iterator=528, queue=13, depth=9
Iterator=529, queue=11, depth=9
Iterator=530, queue=11, depth=9
Iterator=531, queue=10, depth=8
Iterator=532, queue=11, depth=8
Iterator=533, queue=11, depth=9
Iterator=534, queue=12, depth=9
Iterator=535, queue=10, depth=9
Iterator=536, queue=10, depth=9
Iterator=537, queue=9, depth=6
Iterator=538, queue=9, depth=6
Iterator=539, queue=9, depth=7
Iterator=540, queue=10, depth=7
Iterator=541, queue=12, depth=8
Iterator=542, queue=13, depth=8
Iterator=543, queue=13, depth=9
Iterator=544, queue=14, depth=9
Iterator=545, queue=12, depth=9
Iterator=546, queue=12, depth=9
Iterator=547, queue=11, depth=8
Iterator=548, queue=12, depth=8
Iterator=549, queue=12, depth=9
Iterator=550, queue=13, depth=9
Iterator=551, queue=11, depth=9
Iterator=552, queue=11, depth=9
Iterator=553, queue=10, depth=8
Iterator=554, queue=11, depth=8
Iterator=555, queue=11, depth=9
Iterator=556, queue=12, depth=9
Iterator=557, queue=10, depth=9
Iterator=558, queue=10, depth=9
Iterator=559, queue=9, depth=8
Iterator=560, queue=9, depth=8
Iterator=561, queue=10, depth=9
Iterator=562, queue=10, depth=9
Iterator=563, queue=9, depth=9
Iterator=564, queue=11, depth=9
Iterator=565, queue=8, depth=6
Iterator=566, queue=8, depth=6
Iterator=567, queue=8, depth=7
Iterator=568, queue=9, depth=7
Iterator=569, queue=11, depth=8
Iterator=570, queue=12, depth=8
Iterator=571, queue=12, depth=9
Iterator=572, queue=12, depth=9
Iterator=573, queue=11, depth=9
Iterator=574, queue=11, depth=9
Iterator=575, queue=10, depth=8
Iterator=576, queue=11, depth=8
Iterator=577, queue=11, depth=9
Iterator=578, queue=12, depth=9
Iterator=579, queue=10, depth=9
Iterator=580, queue=10, depth=9
Iterator=581, queue=9, depth=8
Iterator=582, queue=10, depth=8
Iterator=583, queue=10, depth=9
Iterator=584, queue=11, depth=9
Iterator=585, queue=9, depth=9
Iterator=586, queue=9, depth=9
Iterator=587, queue=8, depth=8
Iterator=588, queue=8, depth=8
Iterator=589, queue=9, depth=9
Iterator=590, queue=9, depth=9
Iterator=591, queue=8, depth=9
Iterator=592, queue=10, depth=9
Iterator=593, queue=7, depth=5
Iterator=594, queue=7, depth=5
Iterator=595, queue=7, depth=6
Iterator=596, queue=7, depth=6
Iterator=597, queue=8, depth=7
Iterator=598, queue=10, depth=7
Iterator=599, queue=11, depth=8
Iterator=600, queue=11, depth=8
Iterator=601, queue=12, depth=9
Iterator=602, queue=12, depth=9
Iterator=603, queue=11, depth=9
Iterator=604, queue=13, depth=9
Iterator=605, queue=10, depth=8
Iterator=606, queue=10, depth=8
Iterator=607, queue=11, depth=9
Iterator=608, queue=11, depth=9
Iterator=609, queue=10, depth=9
Iterator=610, queue=12, depth=9
Iterator=611, queue=9, depth=8
Iterator=612, queue=10, depth=8
